"Easting","Elevation","Vein_Width"
2135,6650,9.13319494655241
2142,6650,9.12331554538474
2143,6650,9.12190420236078
2145,6650,9.11908151631292
2150,6650,9.11202480119317
2153,6650,9.10779077212135
2155,6650,9.10496808607343
2157,6650,9.10214540002551
2162,6650,9.09508868490576
2165,6650,9.09085465583394
2166,6650,9.08944331280998
2170,6650,9.08379794071419
2171,6650,9.08238659769023
2175,6650,9.07674122559445
2176,6650,9.07532988257049
2180,6650,9.0696845104747
2185,6650,9.06262779535496
2187,6650,9.05980510930709
2190,6650,9.05557108023527
2194,6650,9.04992570813943
2197,6650,9.0456916790676
2200,6650,9.04145764999578
2204,6650,9.03581227789999
2205,6650,9.03440093487603
2210,6650,9.02734421975629
2215,6650,9.02028750463654
2216,6650,9.01887616161258
2220,6650,9.0132307895168
2221,6650,9.01181944649284
2224,6650,9.00758541742101
2225,6650,9.00617407439705
2233,6650,8.99488333020548
2235,6650,8.99206064415756
2243,6650,8.98076989996599
2244,6650,8.97935855694203
2245,6650,8.97794721391807
2246,6650,8.97653587089417
2250,6650,8.97089049879833
2253,6650,8.9666564697265
2255,6650,8.96383378367864
2256,6650,8.96242244065468
2257,6650,8.96101109763072
2262,6650,8.95395438251097
2265,6650,8.94972035343915
2267,6650,8.94689766739123
2272,6650,8.93984095227148
2274,6650,8.93701826622362
2275,6650,8.93560692319966
2277,6650,8.93278423715174
2283,6650,8.92431617900809
2284,6650,8.92290483598413
2285,6650,8.92149349296017
2286,6650,8.92008214993621
2291,6650,8.91302543481646
2293,6650,8.9102027487686
2295,6650,8.90738006272068
2300,6650,8.90032334760093
2305,6650,8.89326663248119
2306,6650,8.89185528945728
2310,6650,8.88620991736144
2315,6650,8.87915320224175
2317,6650,8.87633051619383
2319,6650,8.87350783014591
2324,6650,8.86645111502617
2325,6650,8.86503977200226
2327,6650,8.86221708595434
2335,6650,8.85092634176277
2336,6650,8.84951499873881
2337,6650,8.84810365571485
2345,6650,8.83681291152328
2347,6650,8.83399022547536
2351,6650,8.82834485337958
2352,6650,8.82693351035567
2355,6650,8.82269948128379
2356,6650,8.82128813825983
2361,6650,8.81423142314009
2365,6650,8.8085860510443
2366,6650,8.8071747080204
2369,6650,8.80294067894852
2375,6650,8.79447262080487
2377,6650,8.79164993475695
2381,6650,8.78600456266116
2384,6650,8.78177053358928
2387,6650,8.77753650451746
2391,6650,8.77189113242167
2394,6650,8.76765710334985
2397,6650,8.76342307427797
2400,6650,8.75918904520614
2403,6650,8.75495501613432
2405,6650,8.7521323300864
2410,6650,8.74507561496665
2411,6650,8.74366427194269
2415,6650,8.73801889984691
2420,6650,8.73096218472716
2422,6650,8.7281394986793
2425,6650,8.72390546960742
2427,6650,8.72108278355955
2429,6650,8.71826009751163
2435,6650,8.70979203936793
2437,6650,8.70696935332006
2442,6650,8.69991263820032
2445,6650,8.69567860912849
2451,6650,8.68721055098479
2454,6650,8.68297652191296
2455,6650,8.681565178889
2461,6650,8.6730971207453
2462,6650,8.67168577772134
2465,6650,8.66745174864951
2471,6650,8.65898369050581
2474,6650,8.65474966143398
2478,6650,8.6491042893382
2479,6650,8.64769294631424
2483,6650,8.64204757421845
2492,6650,8.62934548700292
2494,6650,8.626522800955
2500,6650,8.61805474281135
2505,6650,8.61099802769161
